開講年度,開講学期,曜日,時限,教員,科目名,授業番号,単位数,シラバスURL,科目区分,学部コード
2023,後期,月,2限,NSE,実践英語IId(505),A0091,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0091.html,言語科目,0D02
2023,後期,月,2限,NSE,実践英語IId(506),A0092,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0092.html,言語科目,0D02
2023,後期,金,1限,NSE,実践英語IId(507),A0093,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_0D02_A0093.html,言語科目,0D02
2023,後期,金,1限,NSE,実践英語IId(508),A0094,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_0D02_A0094.html,言語科目,0D02
2023,後期,金,1限,NSE,実践英語IId(509),A0095,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_0D02_A0095.html,言語科目,0D02
2023,後期,金,1限,NSE,実践英語IId(510),A0096,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_0D02_A0096.html,言語科目,0D02
2023,前期,木,3限,安藤 大地,情報リテラシー実践I21,A0097,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/4/2023_0D01_A0097.html,基礎科目群,0D01
2023,前期,木,3限,松村 初,情報リテラシー実践I22,A0098,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/4/2023_0D01_A0098.html,基礎科目群,0D01
2023,前期,木,3限,椛澤 恭子,情報リテラシー実践I23,A0099,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/4/2023_0D01_A0099.html,基礎科目群,0D01
2023,前期,木,3限,吉田 雅裕,情報リテラシー実践I24,A0100,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/4/2023_0D01_A0100.html,基礎科目群,0D01
2023,後期,月,3限,根元 裕樹,情報リテラシー実践ⅡＢ,A0102,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D01_A0102.html,基礎科目群,0D01
2023,前期,月,1限,中谷 早苗,実践英語Ia(801)(再履修)【南大沢】,A0104,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0104.html,言語科目,0D02
2023,集中,他,0限,木村 晶子,実践英語Ia(802)(再履修)【南大沢】,A0105,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/9/2023_0D02_A0105.html,言語科目,0D02
2023,前期,月,5限,NSE,実践英語Ic(801)(再履修)【南大沢】,A0106,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0106.html,言語科目,0D02
2023,前期,金,5限,川本 弥希,情報リテラシー実践I(再)91＜2022年度以降入学者対象＞,A0108,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_0D01_A0108.html,基礎科目群,0D01
2023,前期,月,5限,保前文高,基礎ゼミナール,A0109,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D01_A0109.html,基礎科目群,0D01
2023,前期,月,5限,松田 真希子,基礎ゼミナール,A0110,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D01_A0110.html,基礎科目群,0D01
2023,前期,金,5限,中村英男,基礎ゼミナール,A0111,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_0D01_A0111.html,基礎科目群,0D01
2023,前期,水,4限,稲田 奏,基礎ゼミナール,A0112,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_0D01_A0112.html,基礎科目群,0D01
2023,前期,水,4限,武居 寛史,基礎ゼミナール,A0113,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_0D01_A0113.html,基礎科目群,0D01
2023,前期,火,5限,山下 英明,基礎ゼミナール,A0114,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_0D01_A0114.html,基礎科目群,0D01
2023,前期,水,4限,室町幸雄,基礎ゼミナール,A0115,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_0D01_A0115.html,基礎科目群,0D01
2023,前期,水,4限,深谷 友宏,基礎ゼミナール,A0116,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_0D01_A0116.html,基礎科目群,0D01
2023,前期,月,5限,田沼 肇,基礎ゼミナール,A0117,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D01_A0117.html,基礎科目群,0D01
2023,前期,月,5限,セルゲイ ケトフ,基礎ゼミナール,A0118,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D01_A0118.html,基礎科目群,0D01
2023,前期,水,4限,MohamedMehawedAbdellatifSoliman,基礎ゼミナール,A0119,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_0D01_A0119.html,基礎科目群,0D01
2023,前期,月,5限,竹川 暢之,基礎ゼミナール,A0120,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D01_A0120.html,基礎科目群,0D01
2023,前期,火,5限,今村 能之,基礎ゼミナール,A0121,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_0D01_A0121.html,基礎科目群,0D01
2023,前期,月,5限,村越 潤,基礎ゼミナール,A0122,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D01_A0122.html,基礎科目群,0D01
2023,前期,水,4限,瀬高 渉,基礎ゼミナール,A0123,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_0D01_A0123.html,基礎科目群,0D01
2023,前期,月,5限,久保 由治,基礎ゼミナール,A0124,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D01_A0124.html,基礎科目群,0D01
2023,前期,水,4限,奥 真美,基礎ゼミナール,A0125,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_0D01_A0125.html,基礎科目群,0D01
2023,前期,水,4限,岡本 正吾,基礎ゼミナール,A0126,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_0D01_A0126.html,基礎科目群,0D01
2023,前期,月,5限,會田 雅樹,基礎ゼミナール,A0127,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D01_A0127.html,基礎科目群,0D01
2023,前期,月,5限,久保田 直行,基礎ゼミナール,A0128,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D01_A0128.html,基礎科目群,0D01
2023,前期,月,5限,筧 幸次,基礎ゼミナール,A0129,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D01_A0129.html,基礎科目群,0D01
2023,前期,火,5限,来間 弘展,基礎ゼミナール,A0130,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_0D01_A0130.html,基礎科目群,0D01
2023,前期,月,5限,松本 真之介,基礎ゼミナール,A0131,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D01_A0131.html,基礎科目群,0D01
2023,前期,月,5限,張 維珊,基礎ゼミナール,A0132,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D01_A0132.html,基礎科目群,0D01
2023,前期,火,5限,大貫 俊夫,基礎ゼミナール,A0133,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_0D01_A0133.html,基礎科目群,0D01
